brewery_id,Brewery_Name,Brewery_City,Brewery_State,ABV,IBU,Beer_Name,Beer_Style,Beer_Ounces
0,NorthGate Brewing,Minneapolis,MN,0.056,47,Parapet ESB,Extra Special / Strong Bitter (ESB),16
0,NorthGate Brewing,Minneapolis,MN,0.06,25,Stronghold,American Porter,16
0,NorthGate Brewing,Minneapolis,MN,0.06,38,Pumpion,Pumpkin Ale,16
0,NorthGate Brewing,Minneapolis,MN,0.048,19,Wall's End,English Brown Ale,16
0,NorthGate Brewing,Minneapolis,MN,0.049,26,Maggie's Leap,Milk / Sweet Stout,16
0,NorthGate Brewing,Minneapolis,MN,0.045,50,Get Together,American IPA,16
1,Against the Grain Brewery,Louisville,KY,0.05,20,The Brown Note,English Brown Ale,16
1,Against the Grain Brewery,Louisville,KY,0.06,65,Pile of Face,American IPA,16
1,Against the Grain Brewery,Louisville,KY,0.065,NA,Kamen Knuddeln,American Wild Ale,16
1,Against the Grain Brewery,Louisville,KY,0.051,38,Coq de la Marche,Saison / Farmhouse Ale,16
1,Against the Grain Brewery,Louisville,KY,0.076,68,Rico Sauvin,American Double / Imperial IPA,16
1,Against the Grain Brewery,Louisville,KY,0.055,17,Bloody Show,American Pilsner,16
1,Against the Grain Brewery,Louisville,KY,0.04,13,Sho'nuff,Belgian Pale Ale,16
1,Against the Grain Brewery,Louisville,KY,0.066,21,Flesh Gourd'n,Pumpkin Ale,16
1,Against the Grain Brewery,Louisville,KY,0.05,25,Rules are Rules,German Pilsener,16
1,Against the Grain Brewery,Louisville,KY,0.042,42,A Beer,American Pale Ale (APA),16
1,Against the Grain Brewery,Louisville,KY,0.077,25,35 K,Milk / Sweet Stout,16
1,Against the Grain Brewery,Louisville,KY,0.125,80,London Balling,English Barleywine,16
1,Against the Grain Brewery,Louisville,KY,0.08,68,Citra Ass Down,American Double / Imperial IPA,16
2,Jack's Abby Craft Lagers,Framingham,MA,0.049,45,Calyptra,American India Pale Lager,12
2,Jack's Abby Craft Lagers,Framingham,MA,0.067,65,Hoponius Union,American India Pale Lager,12
2,Jack's Abby Craft Lagers,Framingham,MA,0.072,80,Excess IPL,American India Pale Lager,16
2,Jack's Abby Craft Lagers,Framingham,MA,0.048,15,Leisure Time,American Pale Lager,12
2,Jack's Abby Craft Lagers,Framingham,MA,0.052,18,House Lager,Keller Bier / Zwickel Bier,16
3,Mike Hess Brewing Company,San Diego,CA,0.058,28,Claritas,Kölsch,16
3,Mike Hess Brewing Company,San Diego,CA,0.063,30,Grazias,Cream Ale,16
3,Mike Hess Brewing Company,San Diego,CA,0.08,100,Habitus,American Double / Imperial IPA,16
3,Mike Hess Brewing Company,San Diego,CA,0.06,24,Jucundus,Wheat Ale,16
3,Mike Hess Brewing Company,San Diego,CA,0.075,85,Solis,American IPA,16
3,Mike Hess Brewing Company,San Diego,CA,0.08,100,Habitus (2014),American Double / Imperial IPA,16
4,Fort Point Beer Company,San Francisco,CA,0.063,42,Villager,American IPA,12
4,Fort Point Beer Company,San Francisco,CA,0.046,17,KSA,Kölsch,12
4,Fort Point Beer Company,San Francisco,CA,0.056,16,Westfalia,American Amber / Red Ale,12
4,Fort Point Beer Company,San Francisco,CA,0.047,19,Park,American Pale Wheat Ale,12
5,COAST Brewing Company,Charleston,SC,0.097,NA,Boy King,American Double / Imperial IPA,16
5,COAST Brewing Company,Charleston,SC,0.077,NA,HopArt,American IPA,16
5,COAST Brewing Company,Charleston,SC,0.048,NA,32°/50° Kölsch,Kölsch,16
5,COAST Brewing Company,Charleston,SC,0.06,NA,Dead Arm,American Pale Ale (APA),12
5,COAST Brewing Company,Charleston,SC,0.062,NA,Rye Knot,American Brown Ale,12
5,COAST Brewing Company,Charleston,SC,0.093,NA,Blackbeard,American Double / Imperial Stout,12
6,Great Divide Brewing Company,Denver,CO,0.071,NA,Titan IPA,American IPA,12
6,Great Divide Brewing Company,Denver,CO,0.073,NA,Colette,Saison / Farmhouse Ale,12
6,Great Divide Brewing Company,Denver,CO,0.095,75,Yeti  Imperial Stout,Russian Imperial Stout,12
6,Great Divide Brewing Company,Denver,CO,0.05,NA,Lasso,American IPA,12
6,Great Divide Brewing Company,Denver,CO,0.083,NA,Orabelle,Tripel,12
6,Great Divide Brewing Company,Denver,CO,0.071,NA,Rumble,American IPA,12
6,Great Divide Brewing Company,Denver,CO,0.061,NA,Whitewater,American Pale Wheat Ale,12
6,Great Divide Brewing Company,Denver,CO,0.087,NA,Hibernation Ale,Old Ale,12
6,Great Divide Brewing Company,Denver,CO,0.05,NA,Denver Pale Ale (Artist Series No. 1),American Pale Ale (APA),12
7,Tapistry Brewing,Bridgman,MI,0.057,NA,Mr. Orange,Witbier,16
7,Tapistry Brewing,Bridgman,MI,0.07,NA,Reactor,American IPA,16
7,Tapistry Brewing,Bridgman,MI,0.065,35,Peck's Porter,American Porter,16
8,Big Lake Brewing,Holland,MI,0.062,NA,Ryecoe,American IPA,16
8,Big Lake Brewing,Holland,MI,0.08,54,Dark Star,American Stout,16
9,The Mitten Brewing Company,Grand Rapids,MI,0.052,NA,G. B. Russo’s Italian Pistachio Pale Ale,American Pale Ale (APA),16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Triomphe,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.06,NA,Solitude,Belgian Pale Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.055,NA,Farm Hand,Saison / Farmhouse Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.085,NA,Kludde,Belgian Strong Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.097,NA,Trebuchet Double IPA (2012),Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.092,NA,Vivant Tripel (2012),Tripel,16
10,Brewery Vivant,Grand Rapids,MI,0.09,NA,Zaison (2012),Saison / Farmhouse Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.062,NA,Big Red Coq (2012),American Amber / Red Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.099,NA,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Contemplation (2012),Bière de Garde,16
10,Brewery Vivant,Grand Rapids,MI,0.092,NA,Escoffier Bretta Ale,American Wild Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.095,NA,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,16
10,Brewery Vivant,Grand Rapids,MI,0.099,NA,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),16
10,Brewery Vivant,Grand Rapids,MI,0.06,NA,Big Red Coq,American Amber / Red Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.098,NA,Tart Side of the Moon,Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.082,NA,Vivant Tripel,Tripel,16
10,Brewery Vivant,Grand Rapids,MI,0.09,NA,Zaison,Saison / Farmhouse Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.05,NA,Black Rabbit,American Black Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Contemplation,Bière de Garde,16
10,Brewery Vivant,Grand Rapids,MI,0.093,NA,Trebuchet Double IPA,American Double / Imperial IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.056,NA,Maize & Blueberry,Fruit / Vegetable Beer,16
10,Brewery Vivant,Grand Rapids,MI,0.073,NA,Le Flaneur Ale,American Wild Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.093,NA,Tree Bucket,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.063,NA,Pothole Stout,American Stout,16
10,Brewery Vivant,Grand Rapids,MI,0.045,NA,Belgian Wit,Witbier,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Agent a Deux,Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.06,NA,North French,Bière de Garde,16
10,Brewery Vivant,Grand Rapids,MI,0.05,NA,Coq D'Or,Belgian Pale Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.067,NA,Undertaker (2014),Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.067,NA,Undertaker,Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.07,NA,Pumpkin Tart,Fruit / Vegetable Beer,16
10,Brewery Vivant,Grand Rapids,MI,0.064,NA,Moe Lasses',American Stout,16
10,Brewery Vivant,Grand Rapids,MI,0.063,NA,Pepper in the Rye,Rye Beer,16
10,Brewery Vivant,Grand Rapids,MI,0.053,NA,W.I.P.A Snappa,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.062,NA,Mela,Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.062,NA,BRIPA,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.051,NA,Smoky Wheat,Rauchbier,16
10,Brewery Vivant,Grand Rapids,MI,0.099,NA,Wizard Burial Ground,Quadrupel (Quad),16
10,Brewery Vivant,Grand Rapids,MI,0.056,NA,Rye Porter,American Porter,16
10,Brewery Vivant,Grand Rapids,MI,0.063,NA,Viking Ice Hole,Oatmeal Stout,16
10,Brewery Vivant,Grand Rapids,MI,0.061,NA,Ski Patrol,Witbier,16
10,Brewery Vivant,Grand Rapids,MI,NA,NA,Earth-Like Planets,Belgian Pale Ale,16
10,Brewery Vivant,Grand Rapids,MI,NA,NA,Fat Paczki,Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.062,NA,Psychopomp,Belgian Dark Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Dubbelicious,Dubbel,16
10,Brewery Vivant,Grand Rapids,MI,0.082,NA,Sous Chef,Belgian Strong Pale Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.041,NA,Mind Games,Dunkelweizen,16
10,Brewery Vivant,Grand Rapids,MI,0.066,NA,Root Stock,Rye Beer,16
10,Brewery Vivant,Grand Rapids,MI,0.059,NA,Acidulated Trip,Saison / Farmhouse Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.055,NA,The Grand Army,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.09,NA,Paris,Saison / Farmhouse Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.05,NA,Nuit Serpent,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Beach Patrol,Witbier,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Tropical Saison,Saison / Farmhouse Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Cherry Doppelbock,Doppelbock,16
10,Brewery Vivant,Grand Rapids,MI,0.065,NA,Barrel Aged Triomphe,Belgian IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.077,NA,Verdun,Bière de Garde,16
10,Brewery Vivant,Grand Rapids,MI,0.07,NA,Beasts A'Burnin',Rauchbier,16
10,Brewery Vivant,Grand Rapids,MI,0.06,NA,Linnaeus Mango IPA,American IPA,16
10,Brewery Vivant,Grand Rapids,MI,0.098,NA,Tart Side of the Barrel,American Double / Imperial Stout,16
10,Brewery Vivant,Grand Rapids,MI,0.06,NA,Star Runner,Belgian Pale Ale,16
10,Brewery Vivant,Grand Rapids,MI,0.067,NA,Belfort,Saison / Farmhouse Ale,16
11,Petoskey Brewing,Petoskey,MI,0.067,74,Mind's Eye PA,American IPA,16
11,Petoskey Brewing,Petoskey,MI,0.069,20,Horny Monk,Dubbel,16
11,Petoskey Brewing,Petoskey,MI,0.059,25,North 45 Amber Ale,American Amber / Red Ale,16
