"season","season_type","week","poll","rank","teamId","school","conference","first_place_votes","points"
1990,"regular",1,"AP Top 25",1,2390,"Miami","FBS Independents",NA,NA
1990,"postseason",1,"AP Top 25",1,38,"Colorado","Big 8",NA,NA
1990,"regular",1,"AP Top 25",2,87,"Notre Dame","FBS Independents",NA,NA
1990,"postseason",1,"AP Top 25",2,59,"Georgia Tech","ACC",NA,NA
1990,"regular",1,"AP Top 25",3,2,"Auburn","SEC",NA,NA
1990,"postseason",1,"AP Top 25",3,2390,"Miami","FBS Independents",NA,NA
1990,"regular",1,"AP Top 25",4,52,"Florida State","FBS Independents",NA,NA
1990,"postseason",1,"AP Top 25",4,52,"Florida State","FBS Independents",NA,NA
1990,"regular",1,"AP Top 25",5,38,"Colorado","Big 8",NA,NA
1990,"postseason",1,"AP Top 25",5,264,"Washington","Pac-10",NA,NA
1990,"regular",1,"AP Top 25",6,130,"Michigan","Big Ten",NA,NA
1990,"postseason",1,"AP Top 25",6,87,"Notre Dame","FBS Independents",NA,NA
1990,"regular",1,"AP Top 25",7,158,"Nebraska","Big 8",NA,NA
1990,"postseason",1,"AP Top 25",7,130,"Michigan","Big Ten",NA,NA
1990,"regular",1,"AP Top 25",8,2633,"Tennessee","SEC",NA,NA
1990,"postseason",1,"AP Top 25",8,2633,"Tennessee","SEC",NA,NA
1990,"regular",1,"AP Top 25",9,30,"USC","Pac-10",NA,NA
1990,"postseason",1,"AP Top 25",9,228,"Clemson","ACC",NA,NA
1990,"regular",1,"AP Top 25",10,228,"Clemson","ACC",NA,NA
1990,"postseason",1,"AP Top 25",10,248,"Houston","Southwest",NA,NA
1990,"regular",1,"AP Top 25",11,356,"Illinois","Big Ten",NA,NA
1990,"postseason",1,"AP Top 25",11,213,"Penn State","FBS Independents",NA,NA
1990,"regular",1,"AP Top 25",12,333,"Alabama","SEC",NA,NA
1990,"postseason",1,"AP Top 25",12,251,"Texas","Southwest",NA,NA
1990,"regular",1,"AP Top 25",13,245,"Texas A&M","Southwest",NA,NA
1990,"postseason",1,"AP Top 25",13,57,"Florida","SEC",NA,NA
1990,"regular",1,"AP Top 25",14,8,"Arkansas","Southwest",NA,NA
1990,"postseason",1,"AP Top 25",14,97,"Louisville","FBS Independents",NA,NA
1990,"regular",1,"AP Top 25",15,258,"Virginia","ACC",NA,NA
1990,"postseason",1,"AP Top 25",15,245,"Texas A&M","Southwest",NA,NA
1990,"regular",1,"AP Top 25",16,252,"BYU","Western Athletic",NA,NA
1990,"postseason",1,"AP Top 25",16,127,"Michigan State","Big Ten",NA,NA
1990,"regular",1,"AP Top 25",17,194,"Ohio State","Big Ten",NA,NA
