player,college_team,college_seasons_played,career_college_passing_yards,avg_college_passing_yards_per_season,career_college_passing_tds,avg_college_passing_tds_per_season,career_college_rushing_yards,avg_college_rushing_yards_per_season,career_college_rushing_tds,avg_college_rushing_tds_per_season,career_college_completions,avg_college_completions_per_season,career_college_attempts,avg_college_attempts_per_season
"A.J. Augustine",VMI,2,54,27.0,0,0.00,-2,-1.0,0,0.00,7,3.5,19,9.5
"A.J. Derby",Iowa,1,30,30.0,0,0.00,NULL,NULL,NULL,NULL,3,3.0,6,6.0
"A.J. Duffy","Florida State",2,26,13.0,1,0.50,10,5.0,0,0.00,2,1.0,7,3.5
"A.J. Duffy","New Haven",1,1826,1826.0,18,18.00,156,156.0,3,3.00,161,161.0,273,273.0
"A.J. Erdely","Middle Tennessee",1,0,0.0,0,0.00,29,29.0,1,1.00,0,0.0,1,1.0
"A.J. Erdely",UAB,2,3861,1930.5,23,11.50,577,288.5,18,9.00,317,158.5,537,268.5
"A.J. Graham",Marshall,2,809,404.5,7,3.50,246,123.0,4,2.00,74,37.0,115,57.5
"A.J. Schurr",Army,4,868,217.0,7,1.75,853,213.3,14,3.50,45,11.3,100,25.0
"Aaron Allen","Alcorn State",2,3685,1842.5,22,11.00,108,54.0,3,1.50,311,155.5,493,246.5
"Aaron Allen","Louisiana Tech",4,1715,428.8,10,2.50,-19,-4.8,0,0.00,169,42.3,279,69.8
"Aaron Angelos","Delaware State",1,484,484.0,3,3.00,-32,-32.0,0,0.00,44,44.0,78,78.0
"Aaron Angelos",Lafayette,1,157,157.0,0,0.00,-19,-19.0,0,0.00,11,11.0,17,17.0
"Aaron Bailey",Illinois,2,122,61.0,2,1.00,203,101.5,4,2.00,13,6.5,27,13.5
"Aaron Bailey","Northern Iowa",2,249,124.5,2,1.00,199,99.5,1,0.50,26,13.0,46,23.0
"Aaron Banks",Purdue,1,4,4.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,1,1.0
"Aaron Cantu","Southern Utah",2,535,267.5,2,1.00,-33,-16.5,0,0.00,57,28.5,87,43.5
"Aaron Corp",Richmond,2,376,188.0,1,0.50,40,20.0,0,0.00,32,16.0,63,31.5
"Aaron Corp",USC,2,169,84.5,1,0.50,7,3.5,0,0.00,19,9.5,30,15.0
"Aaron McLaughlin","Jacksonville State",1,149,149.0,0,0.00,74,74.0,0,0.00,11,11.0,22,22.0
"Aaron Mclaughlin","NC State",1,NULL,NULL,NULL,NULL,0,0.0,0,0.00,NULL,NULL,NULL,NULL
"Aaron Munoz","UL Monroe",2,56,28.0,0,0.00,3,1.5,0,0.00,1,0.5,3,1.5
"Aaron Murray",Georgia,4,13166,3291.5,121,30.25,388,97.0,16,4.00,921,230.3,1478,369.5
"Aaron Opelt",Toledo,4,6804,1701.0,46,11.50,537,134.3,16,4.00,625,156.3,1074,268.5
"Aaron Pankratz","Bowling Green",2,572,286.0,4,2.00,-22,-11.0,0,0.00,40,20.0,90,45.0
"Aaron Philo","Georgia Tech",2,938,469.0,2,1.00,95,47.5,1,0.50,59,29.5,102,51.0
"Aaron Winchester","Central Connecticut",1,231,231.0,1,1.00,-11,-11.0,0,0.00,17,17.0,22,22.0
"Aaron Winchester","Georgia State",3,721,240.3,5,1.67,401,133.7,2,0.67,61,20.3,111,37.0
"Aaron Zwahlen",Hawai'i,1,32,32.0,0,0.00,0,0.0,0,0.00,3,3.0,10,10.0
"Aaron Zwahlen","Southern Utah",1,57,57.0,0,0.00,-12,-12.0,0,0.00,6,6.0,13,13.0
"Abram Johnston","Northwestern State",2,1206,603.0,7,3.50,186,93.0,2,1.00,96,48.0,180,90.0
"Achilles Ringo","Alcorn State",1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"Adam Browner","Tennessee Tech",1,0,0.0,0,0.00,NULL,NULL,NULL,NULL,0,0.0,1,1.0
"Adam Damante","Northern Arizona",1,1048,1048.0,6,6.00,-49,-49.0,0,0.00,106,106.0,156,156.0
"Adam Dingwell","San Diego State",3,1257,419.0,8,2.67,84,28.0,1,0.33,110,36.7,213,71.0
"Adam Follett",Indiana,1,13,13.0,0,0.00,NULL,NULL,NULL,NULL,1,1.0,3,3.0
"Adam Froman",Louisville,2,2987,1493.5,17,8.50,153,76.5,2,1.00,243,121.5,403,201.5
"Adam Kennedy","Arkansas State",1,2363,2363.0,11,11.00,524,524.0,4,4.00,218,218.0,315,315.0
"Adam Kennedy","Utah State",2,972,486.0,11,5.50,244,122.0,0,0.00,77,38.5,111,55.5
"Adam Schulz",Houston,1,129,129.0,0,0.00,16,16.0,1,1.00,7,7.0,13,13.0
"Adam Schulz",Utah,3,1091,363.7,6,2.00,78,26.0,1,0.33,79,26.3,158,52.7
"Adam Urena",Mercyhurst,2,4458,2229.0,39,19.50,-271,-135.5,0,0.00,437,218.5,661,330.5
"Adam Weber",Minnesota,4,10917,2729.3,72,18.00,873,218.3,10,2.50,909,227.3,1594,398.5
"Adri Kollock Jr","South Carolina State",1,12,12.0,0,0.00,-17,-17.0,0,0.00,3,3.0,10,10.0
"Adrian Martinez","Kansas State",1,1261,1261.0,6,6.00,627,627.0,10,10.00,118,118.0,184,184.0
"Adrian Martinez",Nebraska,4,8491,2122.8,45,11.25,2301,575.3,35,8.75,670,167.5,1055,263.8
"Adrian Mejia","St. Francis (PA)",3,251,83.7,2,0.67,51,17.0,0,0.00,36,12.0,59,19.7
"Aedan McDermott",UAlbany,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
