player_name,college_team,nfl_seasons_played,career_nfl_passing_yards,avg_nfl_passing_yards_per_season,career_nfl_passing_tds,avg_nfl_passing_tds_per_season,career_nfl_rushing_yards,avg_nfl_rushing_yards_per_season,career_nfl_rushing_tds,avg_nfl_rushing_tds_per_season,career_nfl_completions,avg_nfl_completions_per_season,career_nfl_attempts,avg_nfl_attempts_per_season
"A. Van Pelt",NULL,2,17,8.5,0,0.00,0,0.0,0,0.00,4,2.0,6,3.0
A.Brooks,NULL,7,20822,2974.6,129,18.43,1623,231.9,13,1.86,1719,245.6,3040,434.3
A.Brown,NULL,1,302,302.0,0,0.00,-5,-5.0,0,0.00,22,22.0,49,49.0
A.Dalton,NULL,15,40666,2711.1,255,17.00,1601,106.7,22,1.47,3627,241.8,5809,387.3
A.Davis,NULL,3,2548,849.3,13,4.33,68,22.7,0,0.00,236,78.7,378,126.0
A.Feeley,NULL,6,4618,769.7,28,4.67,49,8.2,1,0.17,425,70.8,762,127.0
A.Luck,NULL,6,25925,4320.8,183,30.50,1778,296.3,14,2.33,2185,364.2,3618,603.0
A.McCarron,NULL,6,1404,234.0,7,1.17,77,12.8,1,0.17,136,22.7,220,36.7
A.O'Connell,NULL,2,3830,1915.0,20,10.00,41,20.5,2,1.00,367,183.5,586,293.0
A.Richardson,NULL,3,2400,800.0,11,3.67,634,211.3,10,3.33,177,59.0,350,116.7
A.Rodgers,NULL,21,68433,3258.7,547,26.05,3817,181.8,37,1.76,5838,278.0,8968,427.0
A.Smith,NULL,18,36282,2015.7,198,11.00,2980,165.6,15,0.83,3345,185.8,5438,302.1
A.Tanney,NULL,2,100,50.0,1,0.50,0,0.0,0,0.00,11,5.5,15,7.5
"A.Van Pelt",NULL,4,2169,542.3,12,3.00,26,6.5,0,0.00,186,46.5,324,81.0
A.Walter,NULL,3,1919,639.7,3,1.00,49,16.3,0,0.00,174,58.0,333,111.0
A.Wright,NULL,6,3804,634.0,21,3.50,251,41.8,0,0.00,352,58.7,642,107.0
Aa.Rodgers,NULL,1,1894,1894.0,17,17.00,47,47.0,2,2.00,173,173.0,258,258.0
"Alex Smith",Stanford,1,3336,3336.0,20,20.00,206,206.0,2,2.00,278,278.0,469,469.0
"Alex Smith",Utah,1,3336,3336.0,20,20.00,206,206.0,2,2.00,278,278.0,469,469.0
"B. Griese",NULL,1,1655,1655.0,5,5.00,48,48.0,0,0.00,145,145.0,210,210.0
B.Allen,NULL,5,1810,362.0,11,2.20,68,13.6,0,0.00,166,33.2,293,58.6
B.Basanez,NULL,1,56,56.0,0,0.00,2,2.0,0,0.00,6,6.0,11,11.0
B.Berlin,NULL,2,159,79.5,0,0.00,-16,-8.0,0,0.00,18,9.0,31,15.5
B.Bollinger,NULL,5,2226,445.2,9,1.80,158,31.6,0,0.00,211,42.2,360,72.0
B.Bortles,NULL,6,18243,3040.5,106,17.67,1887,314.5,8,1.33,1611,268.5,2719,453.2
B.Brister,NULL,2,169,84.5,0,0.00,37,18.5,0,0.00,22,11.0,40,20.0
B.Brohm,NULL,2,252,126.0,0,0.00,-3,-1.5,0,0.00,27,13.5,52,26.0
B.Croyle,NULL,5,1669,333.8,8,1.60,15,3.0,0,0.00,181,36.2,319,63.8
B.DiNucci,NULL,1,219,219.0,0,0.00,22,22.0,0,0.00,23,23.0,43,43.0
B.Favre,NULL,12,47511,3959.3,314,26.17,603,50.3,3,0.25,4195,349.6,6758,563.2
B.Gabbert,NULL,12,9487,790.6,51,4.25,685,57.1,3,0.25,882,73.5,1568,130.7
B.Gradkowski,NULL,8,4076,509.5,21,2.63,329,41.1,0,0.00,376,47.0,712,89.0
B.Griese,NULL,10,17783,1778.3,114,11.40,538,53.8,5,0.50,1606,160.6,2580,258.0
B.Hobert,NULL,1,970,970.0,6,6.00,47,47.0,1,1.00,85,85.0,159,159.0
B.Hoyer,NULL,15,11035,735.7,53,3.53,110,7.3,2,0.13,940,62.7,1594,106.3
B.Hoying,NULL,2,117,58.5,0,0.00,5,2.5,0,0.00,10,5.0,23,11.5
B.Huard,NULL,3,706,235.3,4,1.33,49,16.3,0,0.00,64,21.3,112,37.3
B.Hundley,NULL,3,1902,634.0,9,3.00,323,107.7,2,0.67,199,66.3,337,112.3
B.Johnson,NULL,10,23796,2379.6,128,12.80,439,43.9,7,0.70,2195,219.5,3583,358.3
B.Leftwich,NULL,9,10710,1190.0,58,6.44,439,48.8,10,1.11,949,105.4,1640,182.2
B.Mayfield,NULL,8,28089,3511.1,196,24.50,1427,178.4,10,1.25,2436,304.5,3830,478.8
B.Nix,NULL,2,5722,2861.0,45,22.50,644,322.0,7,3.50,568,284.0,874,437.0
B.Osweiler,NULL,7,7783,1111.9,39,5.57,299,42.7,5,0.71,734,104.9,1230,175.7
B.Perkins,NULL,1,161,161.0,1,1.00,90,90.0,0,0.00,19,19.0,34,34.0
B.Petty,NULL,2,1353,676.5,4,2.00,74,37.0,0,0.00,130,65.0,245,122.5
B.Purdy,NULL,4,11447,2861.8,74,18.50,608,152.0,9,2.25,877,219.3,1313,328.3
