player,college_team,college_seasons_played,career_college_passing_yards,avg_college_passing_yards_per_season,career_college_passing_tds,avg_college_passing_tds_per_season,career_college_rushing_yards,avg_college_rushing_yards_per_season,career_college_rushing_tds,avg_college_rushing_tds_per_season,career_college_completions,avg_college_completions_per_season,career_college_attempts,avg_college_attempts_per_season,nfl_seasons_played,career_nfl_passing_yards,avg_nfl_passing_yards_per_season,career_nfl_passing_tds,avg_nfl_passing_tds_per_season,career_nfl_rushing_yards,avg_nfl_rushing_yards_per_season,career_nfl_rushing_tds,avg_nfl_rushing_tds_per_season,career_nfl_completions,avg_nfl_completions_per_season,career_nfl_attempts,avg_nfl_attempts_per_season
Case Keenum,Houston,5,19217,3843.4,155,31,897,179.4,23,4.6,1546,309.2,2229,445.8,11,15764,1433.1,81,7.36,463,42.1,6,0.55,1445,131.4,2321,211
Landry Jones,Oklahoma,4,16646,4161.5,123,30.75,-375,-93.8,3,0.75,1388,347,2183,545.8,3,1321,440.3,8,2.67,-19,-6.3,0,0,110,36.7,174,58
Kellen Moore,Boise State,4,14667,3666.8,142,35.5,-133,-33.3,3,0.75,1157,289.3,1658,414.5,1,779,779,4,4,-1,-1,0,0,61,61,104,104
Luke Falk,Washington State,4,14486,3621.5,119,29.75,-400,-100,4,1,1404,351,2055,513.8,1,416,416,0,0,0,0,0,0,47,47,73,73
Seth Henigan,Memphis,4,14278,3569.5,104,26,900,225,10,2.5,1148,287,1792,448,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bailey Zappe,Western Kentucky,1,5967,5967,62,62,17,17,3,3,475,475,686,686,3,2223,741,12,4,85,28.3,1,0.33,208,69.3,335,111.7
Kyle McCord,Syracuse,1,4779,4779,34,34,-65,-65,3,3,391,391,592,592,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gardner Minshew,Washington State,1,4776,4776,38,38,119,119,4,4,468,468,662,662,9,11950,1327.77777777778,68,7.55555555555556,671,74.5555555555556,5,0.555555555555556,1094,121.555555555556,1729,192.111111111111
Michael Penix Jr.,Washington,2,9544,4772,67,33.5,100,50,7,3.5,725,362.5,1110,555,2,2184,1092,8,4,54,27,2,1,180,90,300,150
Lindsey Scott Jr.,Incarnate Word,1,4655,4655,60,60,703,703,11,11,320,320,451,451,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rakeem Cato,Marshall,4,14079,3519.8,131,32.75,839,209.8,15,3.75,1153,288.3,1838,459.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aaron Murray,Georgia,4,13166,3291.5,121,30.25,388,97,16,4,921,230.3,1478,369.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baker Mayfield,Oklahoma,3,12292,4097.3,119,39.67,893,297.7,18,6,808,269.3,1157,385.7,8,28089,3511.1,196,24.5,1427,178.4,10,1.25,2436,304.5,3830,478.8
Cameron Ward,Miami,1,4313,4313,39,39,204,204,4,4,305,305,454,454,1,1615,1615,5,5,40,40,0,0,158,158,274,274
Joe Burrow,LSU,2,8564,4282,76,38,768,384,12,6,621,310.5,906,453,6,21016,3502.7,151,25.17,910,151.7,13,2.17,1938,323,2834,472.3
Keenan Reynolds,Navy,4,4001,1000.3,31,7.75,4559,1139.8,88,22,242,60.5,462,115.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denard Robinson,Michigan,4,6152,1538,49,12.25,4449,1112.3,42,10.5,418,104.5,734,183.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malcolm Perry,Navy,4,1311,327.8,10,2.5,4359,1089.8,40,10,58,14.5,112,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jordan Lynch,Northern Illinois,4,6209,1552.3,51,12.75,4343,1085.8,48,12,509,127.3,823,205.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lamar Jackson,Louisville,3,9043,3014.3,69,23,4132,1377.3,50,16.67,619,206.3,1086,362,8,22885,2860.6,190,23.75,6994,874.3,37,4.63,1910,238.8,2945,368.1
Tyler Huff,Jacksonville State,1,2543,2543,14,14,1344,1344,15,15,178,178,293,293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jalen Hurts,Oklahoma,1,3851,3851,32,32,1298,1298,20,20,237,237,341,341,6,18157,3026.2,110,18.33,3721,620.2,70,11.67,1570,261.7,2410,401.7
Tyler Murphy,Boston College,1,1623,1623,13,13,1184,1184,11,11,131,131,230,230,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colin Kaepernick,Nevada,4,9846,2461.5,80,20,4040,1010,59,14.75,728,182,1249,312.3,6,13645,2274.2,79,13.17,2807,467.8,17,2.83,1105,184.2,1854,309
Tim Tebow,Florida,4,9285,2321.3,88,22,2947,736.8,57,14.25,661,165.3,995,248.8,3,2874,958,19,6.33,1052,350.7,13,4.33,192,64,408,136
Collin Klein,Kansas State,4,4724,1181,30,7.5,2485,621.3,56,14,370,92.5,604,151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Riley Leonard,Notre Dame,1,2861,2861,21,21,906,906,17,17,269,269,403,403,1,0,0,0,0,1,1,0,0,0,0,2,2
Ricky Dobbs,Navy,3,2770,923.3,20,6.67,2654,884.7,49,16.33,147,49,271,90.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Will Rogers,Mississippi State,4,12304,3076,94,23.5,-316,-79,2,0.5,1300,325,1876,469,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Sean Mannion,Oregon State,4,13600,3400,83,20.75,-804,-201,2,0.5,1187,296.8,1838,459.5,6,573,95.5,1,0.17,-3,-0.5,0,0,67,11.2,110,18.3
Davis Webb,California,1,4295,4295,37,37,-110,-110,6,6,382,382,620,620,2,168,84,1,0.5,38,19,1,0.5,23,11.5,40,20
Kyle Vantrease,Georgia Southern,1,4246,4246,27,27,34,34,3,3,370,370,603,603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Holton Ahlers,East Carolina,5,13933,2786.6,97,19.4,1446,289.2,25,5,1127,225.4,1856,371.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Peyton Manning,Tennessee,4,11201,2800.25,89,22.25,-181,-45.25,12,3,863,215.75,1381,345.25,16,74998,4687.4,549,34.31,639,39.9,21,1.31,6403,400.2,9754,609.6
Patrick Mahomes,Texas Tech,3,11252,3750.7,93,31,845,281.7,22,7.33,857,285.7,1349,449.7,9,40265,4473.9,308,34.22,3129,347.7,25,2.78,3478,386.4,5208,578.7
Tom Brady,Michigan,4,5351,1337.75,35,8.75,-166,-41.5,3,0.75,442,110.5,710,177.5,23,102616,4461.6,737,32.04,1256,54.6,35,1.52,8954,389.3,13973,607.5
Drew Brees,Purdue,4,11792,2948,90,22.5,-350,-87.5,5,1.25,1026,256.5,1678,419.5,19,83112,4374.3,592,31.16,691,36.4,25,1.32,7372,388,10834,570.2
Matt Ryan,Boston College,4,9313,2328.25,56,14,58,14.5,11,2.75,807,201.75,1347,336.75,15,65212,4347.5,401,26.73,1578,105.2,14,0.93,5761,384.1,8771,584.7
Andrew Luck,Stanford,3,9430,3143.3,82,27.33,957,319,7,2.33,713,237.7,1064,354.7,6,25925,4320.8,183,30.5,1778,296.3,14,2.33,2185,364.2,3618,603
Josh Allen,Wyoming,3,5066,1688.7,44,14.67,756,252,12,4,365,121.7,649,216.3,8,30283,3785.4,224,28,4966,620.8,72,9,2642,330.3,4147,518.4
Jayden Daniels,LSU/Arizona State,5,12749,2549.8,89,17.8,3307,661.4,34,6.8,953,190.6,1438,287.6,2,5421,2710.5,38,19,1237,618.5,8,4,495,247.5,740,370
Cam Newton,Florida/Auburn,2,5741,2870.5,52,26,2241,1120.5,40,20,395,197.5,628,314,11,34203,3109.4,204,18.55,5886,535.1,77,7,2816,256,4698,427.1
Kyler Murray,Oklahoma/Texas A&M,3,5409,1803,50,16.6666666666667,1478,492.666666666667,13,4.33333333333333,349,116.333333333333,518,172.666666666667,7,20597,2942.4,121,17.29,3199,457,32,4.57,1993,284.7,2975,425
Ben Roethlisberger,Miami (OH),3,10829,3609.67,84,28,246,82,7,2.33,854,284.67,1304,434.67,18,70100,3894.4,454,25.22,1615,89.7,23,1.28,5942,330.1,9235,513.1
Aaron Rodgers,California,2,5469,2734.5,43,21.5,336,168,8,4,424,212,665,332.5,22,70327,3196.68181818182,564,25.6363636363636,3864,175.636363636364,39,1.77272727272727,6011,273.227272727273,9226,419.363636363636
Micheal Vick,Virginia Tech,2,3279,1639.5,21,10.5,1216,608,17,8.5,187,93.5,332,166,13,23441,1803.2,138,10.62,6393,491.8,37,2.85,1887,145.2,3359,258.4
Russell Wilson,NC State/Wisconsin,4,11720,2930,109,27.25,1421,355.25,23,5.75,907,226.75,1489,372.25,14,50977,3641.2,380,27.14,6089,434.9,34,2.43,4243,303.1,6593,470.9
Matthew Stafford,Georgia,3,7731,2577,51,17,207,69,6,2,564,188,987,329,17,64733,3807.8,413,24.29,1425,83.8,18,1.06,5583,328.4,8782,516.6
Nathan Rourke,Ohio,3,7454,2484.7,60,20,2639,879.7,49,16.33,526,175.3,895,298.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Davis Brin,Georgia Southern/Tulsa,5,9441,1889.4,61,12.2,-51,-10.2,5,1,772,154.4,1241,248.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
