id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.375,1.05,0.2875,20.87940675,9.82310175,4.819415,5.10291,9.0
1,M,1.2375,0.95,0.3125,16.839603,7.540967,3.7137845,4.3941725,10.0
2,M,1.6125,1.2625,0.4,37.98833,15.97494325,7.98038425,13.60776,18.0
3,I,1.15,0.8625,0.2875,10.44679075,4.8477645,2.36718325,3.5436875,8.0
4,I,0.9375,0.6875,0.2125,6.80388,2.948348,1.34660125,1.984465,6.0
5,F,1.475,1.2125,0.4125,35.8621175,13.93377925,7.98038425,10.77281,11.0
6,M,1.375,1.1125,0.3625,26.08154,11.4815475,6.3786375,7.654365,10.0
7,F,1.4375,1.125,0.3625,27.71163625,12.3320325,6.30776375,7.5126175,9.0
8,M,1.3125,0.975,0.3,16.839603,7.04485075,3.5436875,4.7343665,9.0
9,F,1.4375,1.125,0.325,24.11124975,9.07184,5.3013565,7.087375,8.0
10,M,0.9,0.7,0.2375,6.53455975,2.7499015,1.31825175,2.041164,12.0
11,I,1.325,1.025,0.3375,20.76600875,8.09378225,4.32329875,7.087375,15.0
12,I,1.025,0.8125,0.2125,8.17883075,3.912231,1.85689225,2.6932025,7.0
13,I,1.175,0.9125,0.325,15.74814725,7.0590255,3.175144,4.52174525,7.0
14,F,1.3375,1.0625,0.3125,23.8986285,10.6310625,6.577084,6.520385,9.0
15,F,1.5125,1.225,0.45,32.0065855,12.870673,5.3580555,11.4815475,16.0
16,M,1.475,1.1875,0.4,29.1716355,10.81533425,6.917278,10.489315,21.0
17,I,0.925,0.6875,0.2125,6.180191,2.7499015,1.190679,1.71514475,7.0
18,M,1.1625,0.8875,0.275,12.587178,5.159609,2.948348,4.3941725,10.0
19,F,1.6625,1.3125,0.425,38.3001745,17.70426275,8.8166945,11.1980525,10.0
20,F,1.0375,0.775,0.25,8.5331995,3.345241,1.88524175,2.4097075,6.0
21,F,1.5,1.25,0.4,34.62891425,16.499409,6.33611325,9.36950975,10.0
22,M,1.775,1.4125,0.5125,45.91201525,16.329312,9.5537815,16.44271,27.0
23,I,1.25,0.975,0.3625,20.22736825,9.25611175,4.57844425,6.23689,9.0
24,I,1.1625,0.8875,0.275,12.0485375,5.7549485,2.36718325,3.18931875,7.0
25,I,1.15,0.875,0.325,13.22504175,6.2652395,3.01922175,4.1106775,7.0
26,M,1.6125,1.3125,0.4,33.89182725,13.99047825,7.38504475,9.355335,14.0
27,I,0.85,0.6625,0.2125,5.1879585,2.19708625,0.94970825,1.70097,6.0
28,F,1.4,1.1125,0.3625,26.03901575,10.6310625,6.36446275,9.4970825,11.0
29,M,1.5125,0.95,0.4125,37.03862175,17.10892325,7.98038425,9.2135875,11.0
30,F,1.7125,1.3625,0.5,49.34230475,16.31513725,8.83086925,15.592225,18.0
31,F,1.55,1.175,0.4375,33.46658475,12.23280925,8.15048125,9.07184,10.0
32,I,1.2375,0.975,0.325,16.839603,7.47009325,3.27436725,5.2446575,8.0
33,F,1.1375,0.8875,0.3,14.07552675,5.6699,3.231843,4.53592,13.0
34,I,0.7,0.525,0.1875,3.005047,1.17650425,0.56699,0.94970825,5.0
35,M,1.35,1.0625,0.35,22.339406,9.87980075,4.52174525,6.010094,9.0
36,M,1.625,1.275,0.525,38.96638775,14.04717725,8.674947,12.6155275,13.0
37,M,1.175,0.9,0.35,13.53688625,5.96756975,2.5231055,4.819415,11.0
38,M,1.55,1.275,0.4375,31.99241075,13.6928085,7.0023265,9.7805775,8.0
39,M,1.3875,1.1125,0.3875,24.67823975,10.092422,5.93922025,7.087375,9.0
40,F,1.6,1.2875,0.475,38.90968875,17.1514475,8.164656,10.3475675,11.0
41,I,0.7125,0.525,0.1875,3.345241,1.34660125,0.83631025,0.94970825,5.0
42,I,1.3,1.0,0.3125,19.74542675,9.25611175,3.67126025,4.819415,8.0
43,I,0.6375,0.475,0.1625,2.45223175,0.97805775,0.4819415,0.7087375,5.0
44,I,1.1875,0.9375,0.25,14.2030995,5.65572525,2.93417325,3.98310475,7.0
45,M,1.275,1.0,0.3,17.50581625,8.09378225,4.025629,4.7343665,8.0
46,F,1.4,1.1,0.4,24.4656185,8.6465975,5.329706,8.50485,17.0
47,M,1.5625,1.2125,0.425,33.40988575,12.99824575,8.5898985,10.489315,17.0
48,F,1.525,1.2,0.4,30.40483875,12.65805175,6.95980225,8.788345,12.0
49,M,1.4875,1.175,0.375,27.9242575,12.28950825,5.96756975,7.7961125,9.0
50,M,1.55,1.175,0.4125,32.6869735,13.73533275,7.52679225,9.2135875,11.0
51,M,1.4,1.075,0.3375,23.40251225,9.99319875,5.4714535,6.690482,8.0
52,M,1.4875,1.175,0.4125,29.993771,13.79203175,6.13766675,7.93786,10.0
53,M,1.325,1.1125,0.3375,20.9502805,9.99319875,4.252425,5.3580555,11.0
54,I,0.8125,0.6,0.1875,4.94698775,2.154562,1.00640725,1.417475,7.0
55,F,1.5375,1.275,0.475,32.16250775,12.94154675,7.15824875,9.865626,10.0
56,I,1.1875,0.9125,0.2875,14.004653,5.953395,3.118445,3.33106625,7.0
57,I,1.3,1.0125,0.3125,18.27125275,7.75358825,4.479221,5.386405,9.0
58,I,0.925,0.6875,0.225,6.180191,2.778251,1.06310625,1.984465,6.0
59,I,0.9,0.675,0.2125,6.350288,2.83495,1.06310625,1.984465,7.0
60,I,1.0875,0.85,0.275,9.82310175,3.30271675,1.8994165,2.9766975,7.0
61,I,1.1,0.875,0.325,11.89261525,4.80524025,2.67902775,3.685435,9.0
62,M,1.5625,1.25,0.4,33.40988575,16.4143605,6.80388,10.489315,8.0
63,I,0.9625,0.725,0.25,8.77417025,3.515338,1.7293195,2.324659,6.0
64,M,1.775,1.375,0.5125,52.673371,27.21552,12.96989625,14.17475,13.0
65,I,0.925,0.6875,0.225,6.633783,2.721552,1.14815475,1.984465,7.0
66,I,0.9625,0.725,0.2375,6.747181,3.04757125,1.304077,2.1262125,6.0
67,I,0.8875,0.675,0.225,6.25106475,2.7499015,1.14815475,2.14038725,7.0
68,M,1.125,0.8875,0.3,13.39513875,5.71242425,2.494756,3.78465825,7.0
69,I,0.875,0.6625,0.225,5.8683465,2.778251,1.190679,1.757669,6.0
70,F,1.3125,1.025,0.3125,16.2442635,7.81028725,3.685435,4.6776675,8.0
71,I,0.65,0.5375,0.1875,2.8066005,1.0489315,0.69456275,0.850485,6.0
