Bacteria,Temperature,Ocean,Season,Oxygen
203.6359266,55.62840835,Pacific,Winter,12.86930625
174.1385404,40.66406752,Pacific,Winter,13.72256658
155.3954218,45.29037721,Pacific,Winter,9.636841352
182.6866416,53.59203308,Pacific,Winter,11.56411612
162.8007003,45.48495315,Pacific,Winter,10.20461808
167.687122,50.12735754,Pacific,Winter,9.301497305
185.0945745,54.42395291,Pacific,Winter,10.67954979
161.0099647,42.62279065,Pacific,Winter,11.81369896
171.7906872,54.03095411,Pacific,Winter,9.395927866
176.2657511,47.47039399,Pacific,Winter,11.58729594
189.6498522,53.92845342,Pacific,Winter,11.78733235
177.188599,52.83696819,Pacific,Winter,10.06474164
131.502762,46.90479175,Pacific,Winter,5.361848787
160.4412114,43.54708356,Pacific,Winter,11.35281375
184.1677584,61.2210002,Pacific,Winter,9.698631888
166.0141649,55.20205089,Pacific,Winter,7.502433412
156.5880916,50.91809398,Pacific,Winter,8.489435573
135.0508789,45.21026648,Pacific,Winter,5.155578195
185.0431784,51.7170285,Pacific,Winter,11.67213354
172.0749674,53.18338408,Pacific,Winter,9.428518217
193.1121327,58.07382613,Pacific,Winter,10.84997709
156.0073729,49.90892571,Pacific,Winter,8.244545999
176.5289708,50.70653786,Pacific,Winter,11.8886459
151.1777992,45.87274923,Pacific,Winter,8.154012796
175.3021076,58.89137738,Pacific,Winter,7.417196089
170.6685365,48.22827377,Pacific,Winter,10.37627287
194.8410247,49.92947879,Pacific,Winter,12.81681222
166.5626805,42.46469788,Pacific,Winter,11.32614668
145.9753407,48.16289661,Pacific,Winter,6.107451199
190.4424994,46.11353982,Pacific,Winter,13.38273666
158.9741213,46.25892266,Pacific,Winter,9.878463068
140.2985799,51.14807119,Pacific,Winter,5.545660805
161.5142289,47.69742694,Pacific,Winter,9.208014382
179.4799865,55.36003238,Pacific,Winter,9.082096164
135.0976349,40.50465206,Pacific,Winter,7.25535919
168.1854261,57.55947411,Pacific,Winter,8.549847136
183.4254723,66.656359,Pacific,Winter,6.388564275
159.7607849,48.11277369,Pacific,Winter,9.076636053
197.4762591,54.76876359,Pacific,Winter,12.49599984
162.4961525,45.17481932,Pacific,Winter,9.927476037
202.1229669,54.58459635,Pacific,Winter,12.33646802
167.6420649,57.56349671,Pacific,Winter,7.814891795
177.5287114,57.45098052,Pacific,Winter,9.15514529
152.8446686,47.35260713,Pacific,Winter,8.77296703
168.7722055,53.49195685,Pacific,Winter,8.82134354
177.2206755,48.02968954,Pacific,Winter,11.38886016
182.715924,51.07467395,Pacific,Winter,11.40041841
135.9154359,45.75777404,Pacific,Winter,6.103705928
205.8759029,63.56230022,Pacific,Winter,10.03938742
191.1365397,47.96445863,Pacific,Winter,13.28372105
179.0624999,47.95357692,Pacific,Winter,12.37696777
214.2499727,55.80257518,Pacific,Winter,13.50543004
177.6535886,52.6403031,Pacific,Winter,10.62449997
194.9919218,54.97098181,Pacific,Winter,11.04751848
195.0757485,47.11261338,Pacific,Winter,13.0858045
166.2110608,48.10278006,Pacific,Winter,10.11875313
185.8089228,48.34199917,Pacific,Winter,12.61830325
190.316135,58.25955806,Pacific,Winter,10.30545533
160.6260287,50.98980499,Pacific,Winter,8.33347272
176.050145,54.97280064,Pacific,Winter,8.469633052
188.6489338,56.61217363,Pacific,Winter,10.34907161
155.3150247,56.15423492,Pacific,Winter,5.59058217
130.8695831,37.65386527,Pacific,Winter,7.2392119
183.5114612,54.92631796,Pacific,Winter,10.08086506
185.5790716,52.14796744,Pacific,Winter,10.95460799
204.2648921,54.86824737,Pacific,Winter,13.0985659
179.2703308,54.98200208,Pacific,Winter,10.47967047
152.5685055,47.82659548,Pacific,Winter,7.764474281
165.7146328,53.81960748,Pacific,Winter,9.415110226
178.2365977,51.93275142,Pacific,Winter,10.18987582
215.331567,63.04609552,Pacific,Spring,11.36438568
202.6092143,56.84499115,Pacific,Spring,12.49010121
194.150518,58.67607005,Pacific,Spring,10.38541214
219.3654811,67.44459897,Pacific,Spring,12.12612245
194.4468305,53.15964397,Pacific,Spring,11.62765509
184.1693804,60.72937561,Pacific,Spring,9.033862997
220.6523308,67.36633199,Pacific,Spring,11.30780937
181.625745,59.15601737,Pacific,Spring,8.678895729
203.1778348,66.06264693,Pacific,Spring,10.57735919
165.6139338,46.97129225,Pacific,Spring,10.12658429
187.4863856,66.09041615,Pacific,Spring,7.710021052
209.3523817,67.98730185,Pacific,Spring,9.806145784
174.2329788,48.98574404,Pacific,Spring,11.17852599
187.4125424,64.68053123,Pacific,Spring,8.639620877
185.9959657,58.7365438,Pacific,Spring,9.637803127
143.023051,53.46608867,Pacific,Spring,5.871180641
210.5778568,65.32329664,Pacific,Spring,11.12525026
171.7023034,58.23719857,Pacific,Spring,6.589553053
187.8607617,61.7184466,Pacific,Spring,8.900662509
157.8266978,54.81440579,Pacific,Spring,5.886238494
214.6720267,55.54743795,Pacific,Spring,13.64021715
247.6623552,68.19903986,Pacific,Spring,14.08672596
178.7240749,56.0889867,Pacific,Spring,9.638483277
209.3856562,65.84425568,Pacific,Spring,10.64279209
226.8779245,64.77158845,Pacific,Spring,13.76277873
171.3356085,48.07275567,Pacific,Spring,11.05060086
214.6214113,67.45429358,Pacific,Spring,11.05122958
179.5342711,56.09067592,Pacific,Spring,10.29861657
195.1929756,63.78730615,Pacific,Spring,10.40360255
