Plastic,Bacteria,Temperature,Region,TimeOfDay
2931.625954,107.5225672,47.94692945,EAST,Morning
1170.815618,277.3198336,51.23061756,WEST,Morning
2549.463975,145.1273161,50.39756634,EAST,Morning
1428.796117,255.1112629,50.04588944,WEST,Morning
2505.691419,148.7302083,53.12895982,EAST,Morning
2523.420649,156.2230739,50.16244124,WEST,Morning
1887.280823,202.0623849,50.20991664,EAST,Morning
3058.727721,99.51605694,51.46796063,WEST,Morning
2375.151123,155.8285784,53.07623436,EAST,Morning
1675.670628,220.1204747,50.34308722,WEST,Morning
1580.351061,226.5679053,50.88760779,EAST,Morning
1557.145423,242.8861784,52.79875832,WEST,Morning
1689.00326,237.1101794,51.82651219,EAST,Morning
3100.5728,121.2871526,51.85326235,WEST,Morning
2568.061963,153.1393297,55.06299871,EAST,Morning
2739.515208,129.2282134,55.52259034,WEST,Morning
829.556306,309.5076925,53.81560936,EAST,Morning
2559.28669,150.6818968,53.73107678,WEST,Morning
2375.890405,172.0083644,57.09442473,EAST,Morning
2377.414683,169.1103043,54.54831522,WEST,Morning
2489.984228,150.8328849,55.72024211,EAST,Morning
1320.046302,268.9886928,53.17879108,WEST,Morning
2850.528111,101.6199085,55.94871512,EAST,Morning
2491.727496,158.9294275,57.22121681,WEST,Morning
2322.993451,163.8867596,55.25135338,EAST,Afternoon
1726.286483,217.0133848,56.19433051,WEST,Afternoon
2491.768078,144.1581487,55.82938035,EAST,Afternoon
1522.546246,241.72127,56.56444908,WEST,Afternoon
1844.049486,204.7812268,55.24599692,EAST,Afternoon
2670.202366,136.5182509,53.50680906,WEST,Afternoon
1804.649067,208.7230802,57.09150056,EAST,Afternoon
733.4140352,314.1980683,53.70806318,WEST,Afternoon
2296.286681,184.5692714,57.28205578,EAST,Afternoon
2981.354086,98.89875999,54.69415012,WEST,Afternoon
2294.684416,176.5539101,58.55163247,EAST,Afternoon
2132.820329,195.2465159,54.84937284,WEST,Afternoon
2726.888047,137.1775551,55.66366473,EAST,Afternoon
1725.885662,234.6474391,57.05342453,WEST,Afternoon
1618.148438,238.7870844,56.64764422,EAST,Afternoon
1959.86052,196.5321617,59.29954226,WEST,Afternoon
2812.325397,110.2307162,58.08230052,EAST,Afternoon
3066.937859,107.2399547,58.40488086,WEST,Afternoon
2514.02354,150.4315603,56.9062513,EAST,Afternoon
1608.009996,252.5451896,62.39741955,WEST,Afternoon
2164.393142,188.784108,55.44428061,EAST,Afternoon
3098.442091,99.12395659,61.33693093,WEST,Afternoon
1581.526982,240.673529,59.096227,EAST,Afternoon
2500.837382,162.1508373,59.19233608,WEST,Afternoon
2434.010073,164.4470462,60.98238409,EAST,Afternoon
1700.679456,218.138542,58.72721848,WEST,Afternoon
2622.335223,141.142171,61.18594055,EAST,Evening
2416.824384,155.3823286,60.40619977,WEST,Evening
2618.389251,150.6869594,64.22345472,EAST,Evening
1873.716542,219.2847265,57.5178574,WEST,Evening
2934.678617,118.9567346,59.08847115,EAST,Evening
2029.503204,217.2266807,60.97088562,WEST,Evening
2116.228636,190.5291324,63.84589095,EAST,Evening
2900.888975,122.0916551,60.25738248,WEST,Evening
3287.111085,72.67894228,57.87448305,EAST,Evening
2187.830666,193.7142259,61.18354458,WEST,Evening
1969.771417,203.686432,60.8713304,EAST,Evening
1232.442076,289.4849315,62.69976434,WEST,Evening
1648.722333,226.4689327,61.37965143,EAST,Evening
1200.4339,256.9372899,59.81368677,WEST,Evening
2300.961656,177.0893796,63.92897387,EAST,Evening
2756.086648,144.720246,62.93136977,WEST,Evening
2046.347289,209.6771159,65.69275412,EAST,Evening
3292.365731,88.73163057,66.31387906,WEST,Evening
2175.103554,175.1314402,62.85660261,EAST,Evening
1404.065265,258.2270447,62.95799296,WEST,Evening
2506.390832,142.6043493,62.62492096,EAST,Evening
1981.645804,218.398582,67.8108432,WEST,Evening
2565.934937,149.9662614,63.53531877,EAST,Evening
1445.759393,252.7582998,65.44853868,WEST,Evening
2475.848386,161.2326556,66.12917799,EAST,Evening
1284.828571,269.075286,66.31081495,WEST,Evening
3787.978593,34.87142443,64.56736966,EAST,Evening
2673.342644,155.561752,70.79631646,WEST,Evening
2232.531966,86.8007332,65.81996724,EAST,Evening
2179.568681,198.3193882,62.47555201,WEST,Night
2426.094641,91.2530096,66.27150513,EAST,Night
2115.058943,92.3195934,69.94134443,WEST,Night
2134.831073,86.2212307,66.77063991,EAST,Night
2503.305973,166.2699756,65.65899134,WEST,Night
2276.758267,78.0096645,66.9407469,EAST,Night
1875.800366,115.9711895,68.95258633,WEST,Night
1557.432551,139.9188677,71.30358808,EAST,Night
2179.47915,102.9415786,69.76956374,WEST,Night
2814.409629,91.6809877,66.39478812,EAST,Night
2209.32731,178.6466726,70.19392596,WEST,Night
1676.652051,87.5190054,68.38237751,EAST,Night
1957.166842,113.8556484,68.55388524,WEST,Night
1847.142729,227.3493196,70.73253454,EAST,Night
2382.046551,167.9207006,69.1066716,WEST,Night
2389.274266,95.9205396,67.2022948,EAST,Night
1085.902048,183.6454167,68.1007776,WEST,Night
1623.197157,150.6434368,71.29949355,EAST,Night
1863.774348,127.5092381,71.95275815,WEST,Night
1108.547651,128.7787972,66.13458972,EAST,Night
2400.05832,122.2417866,68.38171254,WEST,Night
1691.031158,134.5154931,72.33150246,EAST,Night
2112.903499,102.1995796,72.5783689,WEST,Night
2686.925858,137.6707544,73.80611732,EAST,Night
2810.078021,130.6142204,71.10191705,WEST,Night
1342.848101,93.0893696,69.35805014,EAST,Night
2867.8488,126.7156758,71.15493094,WEST,Night
1764.579876,126.5125827,69.95690717,EAST,Night
